title,url,published_date
"15th WES 2019, Mumbai- Presentation Kartik Narayan , CEO & Founder LIT SKILLS",https://www.youtube.com/watch?v=6qMrfyTQSDA,2019-11-29
"15th WES 2019, Mumbai- Shilpa Potnis, President, Birla Open Minds",https://www.youtube.com/watch?v=rM6KAFCeWsY,2019-11-28
"15th WES 2019, Mumbai- Sudhir Kukreja, Co-founder, Credence International Group of Schools, Mumbai",https://www.youtube.com/watch?v=W5AE7Xtah4A,2019-11-28
"15th WES 2019, Mumbai- Vibha Mahajan, Vice President- India, Matific",https://www.youtube.com/watch?v=D0dIWdkNFow,2019-11-28
"15th WES 2019, Mumbai- Wiaana Mahajan, Chief Operating Officer, LIT Skiils Learning",https://www.youtube.com/watch?v=KRF2g20coIc,2019-11-28
15th WES PD: Artificial Intelligence & Machine Learning in Indian Classrooms: A Need of the Hour!,https://www.youtube.com/watch?v=RrubpuBR9CE,2019-11-27
"15th WES 2019, Mumbai- Ashank Desai, Founder and Former Chairman, Mastek, Mumbai",https://www.youtube.com/watch?v=DfFg9bcYoCY,2019-11-27
"15th WES 2019, Mumbai- Panel Discussion: Role of IoT as Catalyst in Education",https://www.youtube.com/watch?v=9_rVkuj7oCQ,2019-11-27
"15th WES 2019, Mumbai- Panel Discussion: Making Classrooms Smart & Student Smarter",https://www.youtube.com/watch?v=Y3Lur8TXJJo,2019-11-27
"15th WES 2019, Mumbai- Shuchi Sharma, Secretary, Higher & Technical Education, Govt of Rajasthan",https://www.youtube.com/watch?v=ef990Jj-DBM,2019-11-26
"15th WES 2019, Mumbai- Syed Omar Jaleel, IAS, CEO & Secretary",https://www.youtube.com/watch?v=VscV4xQw5Bk,2019-11-26
"15th WES 2019, Mumbai- Ravi Gupta, Founder and CEO, Elets Technomedia Pvt Ltd",https://www.youtube.com/watch?v=Qrl2S20-T4Q,2019-11-26
"15th WES 2019, Mumbai- Dr Chithung Mary Thomas, Secretary, Board of School Education, Manipur",https://www.youtube.com/watch?v=0Q2h5su-iyA,2019-11-26
"15th WES 2019, Mumbai -Pre Inaugural Session",https://www.youtube.com/watch?v=_OiQRMx4y7U,2019-11-26
"15th World Education Summit: Anurag Tripathi, Secretary, CBSE extends best wishes",https://www.youtube.com/watch?v=s-49aplEX6Y,2019-10-24
"15th World Education Summit: Dr Sanyam Bhardwaj, Controller of Examination, CBSE extends best wishes",https://www.youtube.com/watch?v=Zmdqs4wUkSY,2019-10-24
"15th World Education Summit, Mumbai (21-22 Nov, 2019): A platform where Education meets Innovation",https://www.youtube.com/watch?v=t2YzQLrSWOg,2019-10-19
"Interview- Amit Jyot Singh, Managing Director, AAI Edutourz Pvt Ltd at 14th World Education Summit",https://www.youtube.com/watch?v=uDUlaHXzVF4,2019-09-03
WES Delhi 2019 Awards (For Higher Education and Corporates),https://www.youtube.com/watch?v=MN3H311kejc,2019-08-22
WES Delhi 2019 Awards – School Education Awards,https://www.youtube.com/watch?v=n_R-I7gJnrk,2019-08-20
"14th World Education Summit 2019, Delhi | Education Conference | Education Events India",https://www.youtube.com/watch?v=sAKnXREG_Wo,2019-03-18
"13th WES, Mumbai: Nitin Kumar Topani, District Planning Officer, Amreli District, Gujarat",https://www.youtube.com/watch?v=5Il_rABJO6Q,2019-01-21
"13th WES, Mumbai: Ramanamurthy Saripalli, Senior Vice President, CodeTantra",https://www.youtube.com/watch?v=cfT7O5MitRw,2019-01-21
"13th WES, Mumbai: -- Rishab Mehta, CEO, GrayQuest Finance",https://www.youtube.com/watch?v=L1WS-4OSdts,2019-01-21
"13th WES, Mumbai: Gautham, Co-Founder, Startup Village Collective (SV.CO)",https://www.youtube.com/watch?v=9ENrU1A90XI,2019-01-21
"13th WES, Mumbai: Dr A Ashok, Secretary & Commissioner, Board of Intermediate Education, Telangana",https://www.youtube.com/watch?v=vYuxIrG_SsE,2019-01-21
"13th WES, Mumbai: Vinayak Sudhakar, Development and Recognition Manager - South India, IB",https://www.youtube.com/watch?v=_QG8ulmlQuo,2019-01-21
"13th WES, Mumbai: Prof Tummala Papi Reddy, Chairman, Telangana State Higher Education Council",https://www.youtube.com/watch?v=ppRtQWg0aTQ,2019-01-21
"13th WES, Mumbai: Navin Mittal, Commissioner, Department of College & Technical Education, Telangana",https://www.youtube.com/watch?v=XVYRbM4IZVQ,2019-01-21
"13th WES, Mumbai: Piyush Kamdar, Founder & CEO, Milearth Softech",https://www.youtube.com/watch?v=9X_s5kC687w,2019-01-21
"13th WES, Mumbai: Interview- Dr Manjula Pooja Shroff, MD & CEO, Kalorex Group",https://www.youtube.com/watch?v=Lw-9gcwRlRo,2019-01-12
"13th WES, Mumbai: Roundtable Discussion: Integrating School Education and Higher Education...",https://www.youtube.com/watch?v=JwMnwXxiW_Q,2019-01-02
"13th WES, Mumbai: E. B Devan, Regional Sales Manager, South Asia, Infocus Corporation",https://www.youtube.com/watch?v=HRz-Xb8dias,2019-01-02
"13th WES, Mumbai: HR Panel Discussion: Education for Human Resource Fulfillment...",https://www.youtube.com/watch?v=xqT0EZLjBlA,2019-01-02
"13th WES, Mumbai: Dr A Ashok, Vice Chancellor, Rajiv Gandhi University of Knowledge Technologies...",https://www.youtube.com/watch?v=gDXn_ZR35v0,2019-01-02
"13th WES, Mumbai: Prof Tummala Papi Reddy, Chairman Telengana State Higher Education Council",https://www.youtube.com/watch?v=qR8j3PQ0_jk,2019-01-02
"13th WES, Mumbai: Panel Discussion: Importance of Public-Private-Partnership (PPP) model...",https://www.youtube.com/watch?v=CVzkAKafFKM,2019-01-02
"13th WES, Mumbai: Dr Sarita V Singh, Principal, Rao Prahalad Singh Sr Sec school, Mahendargarh",https://www.youtube.com/watch?v=cGZLWXcyk4Q,2019-01-02
"13th WES, Mumbai: Satyabrata Duttagupta, Head - Admissions & Placements...",https://www.youtube.com/watch?v=mVKVxSA07fs,2019-01-02
"13th WES, Mumbai: Roundtable Discussion: Conserving cultural... And Evolution of School...",https://www.youtube.com/watch?v=_UmsAUzbKsI,2018-12-28
"13th WES, Mumbai: Valedictory Session by Anil Swarup, CEO, Jharkhand Skill Development Council",https://www.youtube.com/watch?v=vq8tgnKAEPo,2018-12-28
13th World Education Summit Mumbai -- Announcement of 9th Higher Education & Human Resource Conclave,https://www.youtube.com/watch?v=wBzCvKOp84U,2018-12-26
"13th World Education Summit, Mumbai: Welcome Speech -- Dr Ravi Gupta",https://www.youtube.com/watch?v=WpIJO_yLlmc,2018-12-26
World Education Summit: Brainstorming education sector's challenges -- Chandan Anand,https://www.youtube.com/watch?v=npDbq5nY12U,2018-12-26
"13th WES, Mumbai: Amitava Pal, Associate Dean, International Institute of Sports Management",https://www.youtube.com/watch?v=79sGNowrv5o,2018-12-26
"13th WES, Mumbai: Panel Discussion: Changing Dynamics of Higher Education in A Globalised Context...",https://www.youtube.com/watch?v=JplsZltbOaE,2018-12-26
"13th WES, Mumbai: Panel Discussion: Importance of Co-curricular and Extra-curricular...",https://www.youtube.com/watch?v=RT_W3mus33E,2018-12-26
"13th WES, Mumbai: Prof (Dr) GMJ Bhat, Registrar, Bhartiya Skill Development University, Jaipur",https://www.youtube.com/watch?v=vJFeLTnmO5k,2018-12-26
"13th WES, Mumbai: Creating a framework for developing a research-ready...",https://www.youtube.com/watch?v=u8vRaYsH8nc,2018-12-25
"13th WES, Mumbai: Kaushal Kumar Singh, Product head -HD Video Conferencing Panasonic India Pvt Ltd",https://www.youtube.com/watch?v=4kHyDg7qZiA,2018-12-25
"13th WES, Mumbai: Gautham, Co-Founder, Startup Village Collective (SV.CO)",https://www.youtube.com/watch?v=WQfrRXFafuY,2018-12-25
"13th WES, Mumbai: Industry Presentation: Anish Chopra, Managing Director & CEO, Greenifyi...",https://www.youtube.com/watch?v=LBcmhIC0-As,2018-12-25
"13th WES, Mumbai: International Practices in Assessment, Accreditation, Evaluation And Quality...",https://www.youtube.com/watch?v=_Xng4QRtyR4,2018-12-25
"13th WES, Mumbai: Gaurav Sharma, GM-Education, Paytm",https://www.youtube.com/watch?v=fwilpQ6C2r0,2018-12-25
"13th WES, Mumbai: Ramanan Ramanathan, Mission Director (AIM) & Atal Tinkering Lab Team",https://www.youtube.com/watch?v=pZlIB2mQve0,2018-12-25
"13th WES, Mumbai: Pooja Upadhyay, Business head, Designmate",https://www.youtube.com/watch?v=32hezDPGEYM,2018-12-24
"13th WES, Mumbai: Key Note Address by Major Harsh Kumar, Secretary, NCERT",https://www.youtube.com/watch?v=9WoOmix1v2Y,2018-12-24
"13th WES, Mumbai: Roundtable Discussion: Reforming Education through Digitisation...",https://www.youtube.com/watch?v=33qW0lZp9Ik,2018-12-24
"13th WES, Mumbai: Roundtable Discussion: How are Physical Education & Sports Essential...",https://www.youtube.com/watch?v=4ViKvGL_iec,2018-12-24
"13th WES, Mumbai: Brijesh Karia, National Business Head, Robomate+",https://www.youtube.com/watch?v=w-mYdiY9sZE,2018-12-24
"13th WES, Mumbai: Rajeev Francis, CEO, Franciscan Solution Pvt Ltd",https://www.youtube.com/watch?v=3gdLaN1yV6A,2018-12-21
"13th WES, Mumbai: Anish Chopra, Managing Director & CEO, Greenifyi - Super-Fast, Stronger,...",https://www.youtube.com/watch?v=DcSV2KvPPs8,2018-12-21
"13th WES, Mumbai: Roundtable Discussion: Global Emerging Trends in Curriculum...",https://www.youtube.com/watch?v=C2TZjp8_zOE,2018-12-21
"13th WES, Mumbai: CEO Panel Discussion: Industrial Revolution 4.0 Leading...",https://www.youtube.com/watch?v=5W7j94tqghA,2018-12-17
"13th WES, Mumbai: Preschool Panel Discussion- Evolution of Tech-enabled Study in Preschools...",https://www.youtube.com/watch?v=YLeftxEe5qo,2018-12-17
"12th WES 2018: Dr Manpreet Singh Manna, Director(PMSSS & SWAYAM), All India Council...",https://www.youtube.com/watch?v=EJ4bBm6b86o,2018-09-08
"12 WES 2018: Ashutosh A T Pednekar, Secretary, Higher Ed & Commissioner, College Education, Rajsthan",https://www.youtube.com/watch?v=X25MRV2oehw,2018-09-08
"12th WES 2018, New Delhi - Gurukul, Bangalore",https://www.youtube.com/watch?v=AEpfdHigSFA,2018-09-05
"12th WES 2018, New Delhi - Gulbahar Taurani, Marketing Director, Philips India Personal Health",https://www.youtube.com/watch?v=IQXWt2ta50c,2018-09-05
"12th WES 2018, New Delhi - Roundtable Discussion: Building Leadership and Innovation...",https://www.youtube.com/watch?v=Gu-nAyyllDU,2018-09-05
"12th WES 2018, New Delhi - Industry Presentation by Brijesh Karia, National Business Head, Robomate+",https://www.youtube.com/watch?v=RQz3lINX_1w,2018-09-05
"12th WES 2018, New Delhi - Ankur Bansal, Co Founder of Samagra",https://www.youtube.com/watch?v=BoA0JAIyZ74,2018-09-05
"12th WES 2018: Interview: Prahar Anjaria, Founder, Promoter & Chairman, RANGOLI Group of Institutes",https://www.youtube.com/watch?v=kSlAJ1Qf7HY,2018-09-04
"12th WES 2018: Interview: Dr Geetika Saluja, Institute of Aadvanced Research",https://www.youtube.com/watch?v=OlKuYRPCo28,2018-09-04
"12th WES 2018: Interview: Anand Rajawat, Shri Vaishnav Vidyapeeth Vishwavidyalaya",https://www.youtube.com/watch?v=O8bqSCtMBKg,2018-09-04
"12th WES 2018: Interview: Govind R Kadambi, MS Ramaiash University of Applied Sciences",https://www.youtube.com/watch?v=FonvSr-OGCo,2018-09-04
"12th WES 2018: Interview: Dr Vikas Singh, Executive Director, ITS Group of Colleges",https://www.youtube.com/watch?v=1-QqjOvs_Mk,2018-09-04
"12th WES 2018: Interview: Prof Madhulika Kaushik, Pro Vice Chancellor, Usha Martin University",https://www.youtube.com/watch?v=rlUJ_QEBb_s,2018-09-04
"12th WES 2018: Interview: Deepali Mukherjee, Director, Suryadatta Group of Institutes",https://www.youtube.com/watch?v=rixZqh52FrM,2018-09-04
"12th WES 2018: Interview: Amjar Viswanath, Teacher & Chief Coordinator, ECA",https://www.youtube.com/watch?v=Ru1xHGDQj9Q,2018-09-04
"12th WES 2018: Interview: Anibarn Dutta, COO, Digilend",https://www.youtube.com/watch?v=OI-qvwtul4s,2018-09-04
"12th WES 2018: Interview: Minakshi Shani, Head of School, Ramagya Group",https://www.youtube.com/watch?v=W6pn7pI02tw,2018-09-04
"12th WES 2018: Interview: Vineet Thomas, Senior Manager, Entab Infotech Private Limited",https://www.youtube.com/watch?v=ItRXy9-0uwY,2018-09-04
